sequence,pair,type,num_kpts_ref,num_kpts_tgt,num_matches,mma@1px,mma@2px,mma@3px,mma@4px,mma@5px,mma@6px,mma@7px,mma@8px,mma@9px,mma@10px
i_whitebuilding,1-4,illumination,2048,2048,1609,0.550652579241765,0.550652579241765,0.8247358607830951,0.9011808576755749,0.9011808576755749,0.9453076444996893,0.9453076444996893,0.9509011808576756,0.9602237414543194,0.9645742697327533
i_whitebuilding,1-5,illumination,2048,2048,1668,0.511990407673861,0.511990407673861,0.7937649880095923,0.8878896882494005,0.8878896882494005,0.935251798561151,0.935251798561151,0.947841726618705,0.9538369304556354,0.9574340527577938
i_whitebuilding,1-6,illumination,2048,2048,1629,0.4868017188459177,0.4868017188459177,0.7722529158993248,0.8710865561694291,0.8710865561694291,0.9281767955801105,0.9281767955801105,0.941682013505218,0.9521178637200737,0.9551872314303254
i_yellowtent,1-2,illumination,2048,2048,1726,0.5596755504055619,0.9090382387022016,0.9472769409038239,0.9629200463499421,0.97045191193511,0.9768250289687138,0.9797219003476245,0.9803012746234068,0.9831981460023175,0.9831981460023175
i_yellowtent,1-3,illumination,2048,2048,1559,0.3957665169980757,0.8184733803720333,0.8800513149454778,0.9153303399615138,0.9294419499679282,0.9377806286080821,0.9441949967928159,0.9486850545221296,0.9499679281590764,0.9512508017960231
i_yellowtent,1-4,illumination,2048,2048,1327,0.27354935945742276,0.7136397889977393,0.8168801808590807,0.8605877920120573,0.8756593820648079,0.8892238131122834,0.9035418236623964,0.9095704596834966,0.9178598342125094,0.9193669932177845
i_yellowtent,1-5,illumination,2048,2048,1412,0.3052407932011331,0.6954674220963173,0.8087818696883853,0.8647308781869688,0.8923512747875354,0.9114730878186968,0.9206798866855525,0.9256373937677054,0.9313031161473088,0.9348441926345609
i_yellowtent,1-6,illumination,2048,2048,1270,0.2173228346456693,0.6236220472440945,0.7629921259842519,0.841732283464567,0.868503937007874,0.8881889763779528,0.9023622047244094,0.9062992125984252,0.9149606299212598,0.9165354330708662
i_zion,1-2,illumination,2048,2048,1588,0.4263224181360202,0.8746851385390428,0.924433249370277,0.9338790931989924,0.9458438287153652,0.9559193954659949,0.9609571788413098,0.9628463476070529,0.9672544080604534,0.9704030226700252
i_zion,1-3,illumination,2048,2048,1345,0.1970260223048327,0.6899628252788104,0.7992565055762082,0.8200743494423792,0.862453531598513,0.8847583643122676,0.8981412639405204,0.9026022304832714,0.9115241635687732,0.9144981412639405
i_zion,1-4,illumination,2048,2048,1259,0.16600476568705322,0.607625099285147,0.749801429706116,0.7728355837966641,0.8133439237490071,0.8300238284352661,0.840349483717236,0.8451151707704527,0.8498808578236696,0.8570293884034949
